STATEFP,COUNTYFP,TRACTCE,GEOID,CENSUS_TRACT,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID2,GEOid2_1,PovRate,Id2,MedIncome,FID_1,STATEFP_1,COUNTYFP_1,TRACTCE_1,GEOID_1,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,GEOID2_12,GEOid2__13,PovRate_1,Id2_1,MedIncom_1
6,37,204920,6037204920,204920,Census Tract 2049.20,G5020,S,"909,972",0,34.0175004,-118.1974975,"6,037,204,920","6,037,204,920",28.3,"6,037,204,920",40871,0,6,37,204920,6037204920,2049.2,Census Tract 2049.20,G5020,S,"909,972",0,34.0175004,-118.1974975,"6,037,204,920","6,037,204,920",28.3,"6,037,204,920","40,871"
6,37,205110,6037205110,205110,Census Tract 2051.10,G5020,S,"286,962",0,34.0245059,-118.2142985,"6,037,205,110","6,037,205,110",29.4,"6,037,205,110",43063,1,6,37,205110,6037205110,2051.1,Census Tract 2051.10,G5020,S,"286,962",0,34.0245059,-118.2142985,"6,037,205,110","6,037,205,110",29.4,"6,037,205,110","43,063"
6,37,300501,6037300501,300501,Census Tract 3005.01,G5020,S,"1,270,796",0,34.2206688,-118.2399756,"6,037,300,501","6,037,300,501",6.3,"6,037,300,501",101510,2,6,37,300501,6037300501,3005.01,Census Tract 3005.01,G5020,S,"1,270,796",0,34.2206688,-118.2399756,"6,037,300,500","6,037,300,500",6.3,"6,037,300,500","101,510"
6,37,205120,6037205120,205120,Census Tract 2051.20,G5020,S,"1,466,129",0,34.0187546,-118.2117956,"6,037,205,120","6,037,205,120",35.5,"6,037,205,120",28558,3,6,37,205120,6037205120,2051.2,Census Tract 2051.20,G5020,S,"1,466,129",0,34.0187546,-118.2117956,"6,037,205,120","6,037,205,120",35.5,"6,037,205,120","28,558"
6,37,206010,6037206010,206010,Census Tract 2060.10,G5020,S,"1,418,138","20,551",34.0682177,-118.2320356,"6,037,206,010","6,037,206,010",38.7,"6,037,206,010",27669,4,6,37,206010,6037206010,2060.1,Census Tract 2060.10,G5020,S,"1,418,138","20,551",34.0682177,-118.2320356,"6,037,206,010","6,037,206,010",38.7,"6,037,206,010","27,669"
6,37,206020,6037206020,206020,Census Tract 2060.20,G5020,S,"843,243","30,290",34.057123,-118.2311021,"6,037,206,020","6,037,206,020",15.2,"6,037,206,020",96719,5,6,37,206020,6037206020,2060.2,Census Tract 2060.20,G5020,S,"843,243","30,290",34.057123,-118.2311021,"6,037,206,020","6,037,206,020",15.2,"6,037,206,020","96,719"
6,37,206050,6037206050,206050,Census Tract 2060.50,G5020,S,"1,643,427","94,606",34.0299036,-118.2244531,"6,037,206,050","6,037,206,050",41.2,"6,037,206,050",22121,6,6,37,206050,6037206050,2060.5,Census Tract 2060.50,G5020,S,"1,643,427","94,606",34.0299036,-118.2244531,"6,037,206,050","6,037,206,050",41.2,"6,037,206,050","22,121"
6,37,207400,6037207400,207400,Census Tract 2074,G5020,S,"862,957","6,458",34.0562223,-118.246642,"6,037,207,400","6,037,207,400",24.4,"6,037,207,400",91705,7,6,37,207400,6037207400,2074,Census Tract 2074,G5020,S,"862,957","6,458",34.0562223,-118.246642,"6,037,207,400","6,037,207,400",24.4,"6,037,207,400","91,705"
6,37,192410,6037192410,192410,Census Tract 1924.10,G5020,S,"683,899",0,34.0798577,-118.3181008,"6,037,192,410","6,037,192,410",12.7,"6,037,192,410",78333,8,6,37,192410,6037192410,1924.1,Census Tract 1924.10,G5020,S,"683,899",0,34.0798577,-118.3181008,"6,037,192,410","6,037,192,410",12.7,"6,037,192,410","78,333"
6,37,192510,6037192510,192510,Census Tract 1925.10,G5020,S,"340,750",0,34.079869,-118.3068568,"6,037,192,510","6,037,192,510",19.1,"6,037,192,510",45577,9,6,37,192510,6037192510,1925.1,Census Tract 1925.10,G5020,S,"340,750",0,34.079869,-118.3068568,"6,037,192,510","6,037,192,510",19.1,"6,037,192,510","45,577"
6,37,192520,6037192520,192520,Census Tract 1925.20,G5020,S,"307,802",0,34.0799255,-118.3024972,"6,037,192,520","6,037,192,520",21.9,"6,037,192,520",40510,10,6,37,192520,6037192520,1925.2,Census Tract 1925.20,G5020,S,"307,802",0,34.0799255,-118.3024972,"6,037,192,520","6,037,192,520",21.9,"6,037,192,520","40,510"
6,37,192610,6037192610,192610,Census Tract 1926.10,G5020,S,"415,408",0,34.081365,-118.2961539,"6,037,192,610","6,037,192,610",27.8,"6,037,192,610",31577,11,6,37,192610,6037192610,1926.1,Census Tract 1926.10,G5020,S,"415,408",0,34.081365,-118.2961539,"6,037,192,610","6,037,192,610",27.8,"6,037,192,610","31,577"
6,37,192700,6037192700,192700,Census Tract 1927,G5020,S,"531,205",0,34.0800134,-118.2881064,"6,037,192,700","6,037,192,700",25.1,"6,037,192,700",44079,12,6,37,192700,6037192700,1927,Census Tract 1927,G5020,S,"531,205",0,34.0800134,-118.2881064,"6,037,192,700","6,037,192,700",25.1,"6,037,192,700","44,079"
6,37,194500,6037194500,194500,Census Tract 1945,G5020,S,"685,342",0,34.0781753,-118.3695958,"6,037,194,500","6,037,194,500",9.4,"6,037,194,500",98750,13,6,37,194500,6037194500,1945,Census Tract 1945,G5020,S,"685,342",0,34.0781753,-118.3695958,"6,037,194,500","6,037,194,500",9.4,"6,037,194,500","98,750"
6,37,195100,6037195100,195100,Census Tract 1951,G5020,S,"1,566,297","329,063",34.1022274,-118.2669741,"6,037,195,100","6,037,195,100",6.8,"6,037,195,100",126528,14,6,37,195100,6037195100,1951,Census Tract 1951,G5020,S,"1,566,297","329,063",34.1022274,-118.2669741,"6,037,195,100","6,037,195,100",6.8,"6,037,195,100","126,528"
