,Medium Income ($),Canopy Area (%),Income Bracket
0,40871.0,5.831224255,25K - 50K ($)
1,43063.0,22.89974504,25K - 50K ($)
2,101510.0,23.93701682333333,100K - 125K ($)
3,28558.0,6.6751507320000005,25K - 50K ($)
4,27669.0,8.276954921,25K - 50K ($)
5,96719.0,4.549510705,75K - 100K ($)
6,22121.0,6.253722364,0 - 25K ($)
7,91705.0,14.17949808,75K - 100K ($)
8,78333.0,21.5643221025,75K - 100K ($)
9,45577.0,10.375680885,25K - 50K ($)
10,40510.0,10.7304327615,25K - 50K ($)
11,31577.0,15.1162753,25K - 50K ($)
12,44079.0,15.132748845,25K - 50K ($)
13,98750.0,22.24811868,75K - 100K ($)
14,126528.0,29.1097114375,125K to 150K ($)
15,69145.0,19.92400742,50K - 75K ($)
16,25804.0,15.17186496,25K - 50K ($)
17,73949.0,25.782606985,50K - 75K ($)
18,96964.0,27.13611435666667,75K - 100K ($)
19,79553.0,29.059003445,75K - 100K ($)
20,41121.0,15.244386116666668,25K - 50K ($)
21,67778.0,21.268651685,50K - 75K ($)
22,46125.0,16.604545596666668,25K - 50K ($)
23,46023.0,16.648591845,25K - 50K ($)
24,48309.0,16.82582971,25K - 50K ($)
25,175313.0,30.56292546,150K + ($)
26,119511.0,32.46603459,100K - 125K ($)
27,75532.0,20.21524303,75K - 100K ($)
28,73077.0,25.24362338,50K - 75K ($)
29,78016.0,27.776073661999998,75K - 100K ($)
30,42986.0,21.039020255,25K - 50K ($)
31,74634.0,31.319216485,50K - 75K ($)
32,47639.0,18.36000955,25K - 50K ($)
33,54655.0,12.274383892000001,50K - 75K ($)
34,98576.0,32.03403308666667,75K - 100K ($)
35,48287.0,13.712781235,25K - 50K ($)
36,63966.0,17.838069805,50K - 75K ($)
37,78019.0,29.23590895,75K - 100K ($)
38,139243.0,29.797234124000003,125K to 150K ($)
39,140875.0,33.60351823,125K to 150K ($)
40,102582.0,30.0083488325,100K - 125K ($)
41,87464.0,31.3829147625,75K - 100K ($)
42,112891.0,29.471988495999998,100K - 125K ($)
43,100347.0,32.13468334666667,100K - 125K ($)
44,73958.0,30.220091865,50K - 75K ($)
45,69519.0,27.62803103333333,50K - 75K ($)
46,52213.0,18.28003139333333,50K - 75K ($)
47,71500.0,17.765361493333334,50K - 75K ($)
48,66625.0,21.96152508333333,50K - 75K ($)
49,39861.0,24.248095745,25K - 50K ($)
50,53988.0,17.904056205,50K - 75K ($)
51,100000.0,23.05683635333333,75K - 100K ($)
52,93226.0,32.39612794,75K - 100K ($)
53,32596.0,19.35330176,25K - 50K ($)
54,80268.0,39.090310526666656,75K - 100K ($)
55,62044.0,34.269583796666666,50K - 75K ($)
56,50724.0,16.072676389999998,50K - 75K ($)
57,68207.0,17.280977263333334,50K - 75K ($)
58,143649.0,25.441120515,125K to 150K ($)
59,39868.0,13.27962095,25K - 50K ($)
60,52894.0,14.752853355,50K - 75K ($)
61,45818.0,10.540741389666666,25K - 50K ($)
62,82180.0,22.16216400666667,75K - 100K ($)
63,38375.0,11.408525120250001,25K - 50K ($)
64,55021.0,16.848826196666668,50K - 75K ($)
65,73097.0,29.21213930666667,50K - 75K ($)
66,101273.0,37.804721093333335,100K - 125K ($)
67,52051.0,23.275162215,50K - 75K ($)
68,61313.0,20.943522646666665,50K - 75K ($)
69,54750.0,18.266198115,50K - 75K ($)
70,36759.0,13.88719763,25K - 50K ($)
71,47250.0,9.092930567,25K - 50K ($)
72,56250.0,22.666380034444447,50K - 75K ($)
73,54167.0,16.154797015,50K - 75K ($)
74,58705.0,18.06263986,50K - 75K ($)
75,99911.0,31.441215915,75K - 100K ($)
76,53611.0,19.039159316666666,50K - 75K ($)
77,31520.0,11.32707483,25K - 50K ($)
78,35447.0,7.4215089679999995,25K - 50K ($)
79,35410.0,9.8342801285,25K - 50K ($)
80,35709.0,17.51720732,25K - 50K ($)
81,75302.0,16.05619373,75K - 100K ($)
82,54375.0,2.699464625,50K - 75K ($)
83,52563.0,24.59550331,50K - 75K ($)
84,20000.0,3.935154841,0 - 25K ($)
85,48125.0,11.395131036333332,25K - 50K ($)
86,44500.0,14.061541766666664,25K - 50K ($)
87,116576.0,44.11779904333334,100K - 125K ($)
