OBJECTID,GEOID10,CTBG10,CENSUS_TRACT,AreaSqMil,CDP_NAME,CITYNAME,COMMNAME,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Shrub_A,Perv_A,Imperv_A,Total_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Shrub_P,Perv_P,Imperv_P,layer
1,60372932023,2932023,293202,0.2272,Los Angeles,Los Angeles,LA City - Harbor City,"400,204.69","382,064.06","76,978.13",0,"2,137,443.75","709,678.13","2,628,660.94",0,"859,246.88","5,475,782.81","6,335,029.69",6.317329314,6.030975092,1.215118615,0,33.74007472,11.20244356,41.4940587,0,13.56342302,86.43657698,la_county_urban_2010_blockgroups
2,60372941201,2941201,294120,0.3144,Los Angeles,Los Angeles,LA City - Wilmington,"265,134.38","842,301.56","127,912.50",0,"531,618.75","1,038,290.63","5,959,153.13",0,"1,235,348.44","7,529,062.50","8,764,410.94",3.02512487,9.610475462,1.459453475,0,6.065652943,11.84666753,67.99262572,0,14.09505381,85.90494619,la_county_urban_2010_blockgroups
3,60372932022,2932022,293202,0.0965,Los Angeles,Los Angeles,LA City - Harbor City,"247,964.06","470,390.63","231,032.81",0,"689,062.50","367,832.81","683,845.31",0,"949,387.50","1,740,740.63","2,690,128.13",9.217555855,17.48580748,8.588171335,0,25.6144863,13.67343098,25.42054805,0,35.29153467,64.70846533,la_county_urban_2010_blockgroups
4,60372932021,2932021,293202,0.0827,Los Angeles,Los Angeles,LA City - Harbor City,"298,265.63","388,139.06","190,631.25",0,"543,782.81","413,831.25","468,843.75",0,"877,035.94","1,426,457.81","2,303,493.75",12.94840175,16.85001587,8.275744182,0,23.60687163,17.96537325,20.35359332,0,38.0741618,61.9258382,la_county_urban_2010_blockgroups
5,60372941101,2941101,294110,0.1251,Los Angeles,Los Angeles,LA City - Wilmington,"397,926.56","831,628.13","147,262.50",0,"781,396.88","586,321.88","742,823.44",0,"1,376,817.19","2,110,542.19","3,487,359.38",11.41054075,23.84692931,4.222750917,0,22.40654865,16.81277471,21.30045566,0,39.48022098,60.51977902,la_county_urban_2010_blockgroups
6,60372932011,2932011,293201,0.1244,Los Angeles,Los Angeles,LA City - Harbor City,"348,975","589,668.75","175,359.38",0,"829,814.06","563,048.44","959,076.56",0,"1,114,003.13","2,351,939.06","3,465,942.19",10.06869074,17.01323098,5.059500866,0,23.9419476,16.24517684,27.67145297,0,32.14142258,67.85857742,la_county_urban_2010_blockgroups
7,60372932013,2932013,293201,0.1328,Los Angeles,Los Angeles,LA City - Harbor City,"452,531.25","729,450","58,626.56",0,"994,078.13","561,487.50","907,157.81",0,"1,240,607.81","2,462,723.44","3,703,331.25",12.21957258,19.69713079,1.583076386,0,26.84280876,15.1616872,24.49572429,0,33.49977976,66.50022024,la_county_urban_2010_blockgroups
8,60372932012,2932012,293201,0.1562,Los Angeles,Los Angeles,LA City - Harbor City,"579,276.56","939,712.50","232,889.06",0,"1,128,993.75","554,765.63","919,757.81",0,"1,751,878.13","2,603,517.19","4,355,395.31",13.30020632,21.57582567,5.347139485,0,25.92172855,12.7374345,21.11766548,0,40.22317148,59.77682852,la_county_urban_2010_blockgroups
9,60372920004,2920004,292000,0.0957,Los Angeles,Los Angeles,LA City - Harbor City,"433,434.38","675,168.75","86,948.44",0,"573,510.94","383,414.06","515,010.94",0,"1,195,551.56","1,471,935.94","2,667,487.50",16.24878748,25.31103707,3.259563072,0,21.50004217,14.37360297,19.30696723,0,44.81938763,55.18061237,la_county_urban_2010_blockgroups
10,60372920001,2920001,292000,0.0851,Los Angeles,Los Angeles,LA City - Harbor City,"316,870.31","524,981.25","173,362.50",0,"560,390.63","425,812.50","371,418.75",0,"1,015,214.06","1,357,621.88","2,372,835.94",13.35407592,22.1246333,7.306130915,0,23.6169141,17.94529884,15.65294693,0,42.78484013,57.21515987,la_county_urban_2010_blockgroups
11,60371033001,1033001,103300,1.1082,Los Angeles,Los Angeles,LA City - Shadow Hills,"7,766,310.94","3,597,778.13","11,005,692.19",0,"2,692,504.69","1,679,582.81","3,659,821.88","492,637.50","22,862,418.75","8,031,909.38","30,894,328.13",25.13830664,11.64543249,35.62366575,0,8.71520713,5.436540991,11.84625819,1.594588813,74.00199369,25.99800631,la_county_urban_2010_blockgroups
12,60372913003,2913003,291300,0.1408,Los Angeles,Los Angeles,LA City - Harbor Gateway,"446,287.50","702,295.31","92,756.25",0,"977,934.38","639,562.50","1,067,259.38",0,"1,241,339.06","2,684,756.25","3,926,095.31",11.36721003,17.8878824,2.362557264,0,24.90857448,16.29004008,27.18373575,0,31.61764969,68.38235031,la_county_urban_2010_blockgroups
13,60372912202,2912202,291220,0.1911,Los Angeles,Los Angeles,LA City - Harbor Gateway,"705,515.63","818,395.31","288,112.50",0,"1,202,231.25","1,291,935.94","1,022,343.75",0,"1,812,023.44","3,516,510.94","5,328,534.38",13.24033168,15.35873197,5.406974596,0,22.56213745,24.24561515,19.18620915,0,34.00603825,65.99396175,la_county_urban_2010_blockgroups
14,60376031021,6031021,603102,0.0832,Gardena,Gardena,City of Gardena,"165,360.94","265,753.13","22,739.06",0,"695,235.94","440,859.38","728,901.56",0,"453,853.13","1,864,996.88","2,318,850",7.131161459,11.46055696,0.980618087,0,29.981928,19.01198331,31.43375218,0,19.5723365,80.4276635,la_county_urban_2010_blockgroups
15,60376033013,6033013,603301,0.1367,Gardena,Gardena,City of Gardena,"367,045.31","465,271.88","25,762.50",0,"1,105,453.13","492,060.94","1,357,818.75",0,"858,079.69","2,955,332.81","3,813,412.50",9.625114317,12.20093224,0.67557601,0,28.98855356,12.90342803,35.60639585,0,22.50162256,77.49837744,la_county_urban_2010_blockgroups
16,60376033023,6033023,603302,0.1573,Gardena,Gardena,City of Gardena,"165,712.50","274,612.50","19,153.13",0,"1,271,306.25","425,840.63","2,227,218.75",0,"459,478.13","3,924,365.63","4,383,843.75",3.780073138,6.264194521,0.436902547,0,28.99980753,9.713864118,50.80515814,0,10.48117021,89.51882979,la_county_urban_2010_blockgroups
17,60376031012,6031012,603101,0.1188,Gardena,Gardena,City of Gardena,"354,093.75","561,037.50","28,265.63",0,"953,578.13","567,773.44","848,109.38",0,"943,396.88","2,369,460.94","3,312,857.81",10.68846809,16.93515182,0.853209724,0,28.78415492,17.13847891,25.60053655,0,28.47682963,71.52317037,la_county_urban_2010_blockgroups
18,60376023014,6023014,602301,0.2612,Hawthorne,Hawthorne,City of Hawthorne,"578,193.75","707,287.50","250,748.44",0,"2,030,484.38","1,093,823.44","2,621,489.06",0,"1,536,229.69","5,745,796.88","7,282,026.56",7.940011548,9.712783851,3.443388119,0,27.88350684,15.0208658,35.99944384,0,21.09618352,78.90381648,la_county_urban_2010_blockgroups
19,60376030041,6030041,603004,0.0871,Gardena,Gardena,City of Gardena,"191,925","175,429.69","12,290.63",0,"821,334.38","353,193.75","874,814.06",0,"379,645.31","2,049,342.19","2,428,987.50",7.901440415,7.222338011,0.505997869,0,33.81385763,14.54078088,36.0155852,0,15.6297763,84.3702237,la_county_urban_2010_blockgroups
20,60376039001,6039001,603900,0.0544,Lawndale,Lawndale,City of Lawndale,"135,492.19","179,184.38","12,712.50",0,"427,373.44","296,578.13","466,804.69",0,"327,389.06","1,190,756.25","1,518,145.31",8.924849709,11.80284743,0.837370435,0,28.15102309,19.53555582,30.74835351,0,21.56506757,78.43493243,la_county_urban_2010_blockgroups
21,60371065101,1065101,106510,0.3958,Los Angeles,Los Angeles,LA City - Sylmar,"1,780,242.19","1,345,134.38","1,500,553.13",0,"1,588,106.25","2,328,609.38","2,492,212.50",0,"4,625,929.69","6,408,928.13","11,034,857.81",16.13289648,12.18986595,13.5983005,0,14.39172373,21.10230521,22.58490814,0,41.92106293,58.07893707,la_county_urban_2010_blockgroups
22,60376037043,6037043,603704,0.0617,Alondra Park,Unincorporated,LA County - El Camino Village,"96,454.69","143,859.38","15,820.31","5,357.81","626,596.88","159,735.94","673,664.06",0,"261,492.19","1,459,996.88","1,721,489.06",5.602979978,8.356682487,0.91899001,0.311231283,36.39853942,9.278940017,39.13263681,0,15.18988376,84.81011624,la_county_urban_2010_blockgroups
23,60376034001,6034001,603400,0.1091,Gardena,Gardena,City of Gardena,"246,515.63","477,182.81","31,134.38",0,"930,107.81","491,006.25","864,928.13",0,"754,832.81","2,286,042.19","3,040,875",8.106733259,15.69228635,1.023862375,0,30.58684795,16.14687384,28.44339623,0,24.82288198,75.17711802,la_county_urban_2010_blockgroups
24,60376034002,6034002,603400,0.1687,Gardena,Gardena,City of Gardena,"445,654.69","732,332.81","105,145.31",0,"1,244,207.81","774,000","1,402,143.75",0,"1,283,132.81","3,420,351.56","4,703,484.38",9.474990283,15.57000628,2.235477023,0,26.45289563,16.45588543,29.81074536,0,27.28047359,72.71952641,la_county_urban_2010_blockgroups
25,60376039004,6039004,603900,0.1482,Lawndale,Lawndale,City of Lawndale,"385,987.50","549,267.19","91,181.25",0,"1,006,410.94","1,052,775","1,045,237.50",0,"1,026,435.94","3,104,423.44","4,130,859.38",9.344,13.29668085,2.207319149,0,24.36323404,25.48561702,25.30314894,0,24.848,75.152,la_county_urban_2010_blockgroups
26,60376026005,6026005,602600,0.0656,Gardena,Gardena,City of Gardena,"160,453.13","332,803.13","13,725",0,"551,925","258,426.56","510,848.44",0,"506,981.25","1,321,200","1,828,181.25",8.776653026,18.20405526,0.750746131,0,30.18984031,14.1357189,27.94298637,0,27.73145442,72.26854558,la_county_urban_2010_blockgroups
27,60376023015,6023015,602301,0.1353,Del Aire,Unincorporated,LA County - Wiseburn,"513,745.31","899,760.94","145,350",0,"922,289.06","721,209.38","571,007.81",0,"1,558,856.25","2,214,506.25","3,773,362.50",13.61505322,23.84507021,3.852002027,0,24.44210071,19.11317492,15.13259891,0,41.31212546,58.68787454,la_county_urban_2010_blockgroups
28,60376024021,6024021,602402,0.0989,Hawthorne,Hawthorne,City of Hawthorne,"223,467.19","415,673.44","58,795.31",0,"861,553.13","442,068.75","756,773.44",0,"697,935.94","2,060,395.31","2,758,331.25",8.101535575,15.06974326,2.131553725,0,31.23457797,16.02667374,27.43591574,0,25.30283256,74.69716745,la_county_urban_2010_blockgroups
29,60376007031,6007031,600703,0.2009,Inglewood,Inglewood,City of Inglewood,"826,860.94","745,087.50","8,029.69",0,"1,508,062.50","1,009,223.44","1,505,193.75",0,"1,579,978.13","4,022,479.69","5,602,457.81",14.75889628,13.29929693,0.143324372,0,26.91787338,18.01394087,26.86666817,0,28.20151758,71.79848242,la_county_urban_2010_blockgroups
30,60376024033,6024033,602403,0.0758,Hawthorne,Hawthorne,City of Hawthorne,"158,020.31","289,448.44","44,128.13",0,"817,734.38","270,042.19","533,981.25",0,"491,596.88","1,621,757.81","2,113,354.69",7.4772263,13.69615991,2.088060526,0,38.69366462,12.77789238,25.26699627,0,23.26144674,76.73855326,la_county_urban_2010_blockgroups
31,60375503006,5503006,550300,0.0869,Norwalk,Norwalk,City of Norwalk,"401,779.69","274,950","21,079.69",0,"412,129.69","747,942.19","566,451.56",0,"697,809.38","1,726,523.44","2,424,332.81",16.57279419,11.34126464,0.86950469,0,16.99971577,30.85146493,23.36525578,0,28.78356352,71.21643648,la_county_urban_2010_blockgroups
32,60375438021,5438021,543802,0.1309,Carson,Carson,City of Carson,"325,139.06","580,696.88","202,078.13",0,"1,061,423.44","592,973.44","884,812.50",0,"1,107,914.06","2,539,209.38","3,647,123.44",8.914945383,15.92205158,5.54075365,0,29.10303026,16.25866104,24.26055809,0,30.37775062,69.62224938,la_county_urban_2010_blockgroups
33,60375437021,5437021,543702,0.0979,Carson,Carson,City of Carson,"388,785.94","689,498.44","1,631.25",0,"694,139.06","462,220.31","492,075",0,"1,079,915.63","1,648,434.38","2,728,350",14.24985568,25.27162708,0.059788883,0,25.44171615,16.94138628,18.03562593,0,39.58127165,60.41872835,la_county_urban_2010_blockgroups
34,60375437024,5437024,543702,0.1051,Carson,Carson,City of Carson,"434,475","743,118.75","23,428.13",0,"692,057.81","566,268.75","470,432.81",0,"1,201,021.88","1,728,759.38","2,929,781.25",14.82960545,25.36430834,0.799654411,0,23.62148411,19.3280215,16.05692618,0,40.99356821,59.00643179,la_county_urban_2010_blockgroups
35,60375437025,5437025,543702,0.0817,Carson,Carson,City of Carson,"323,156.25","541,617.19","7,832.81",0,"581,934.38","428,765.63","393,314.06",0,"872,606.25","1,404,014.06","2,276,620.31",14.1945606,23.79040477,0.344054406,0,25.56132754,18.83342702,17.27622566,0,38.32901978,61.67098022,la_county_urban_2010_blockgroups
36,60375438012,5438012,543801,0.0937,Carson,Carson,City of Carson,"311,287.50","538,200","108,703.13",0,"650,489.06","427,246.88","575,676.56",0,"958,190.63","1,653,412.50","2,611,603.13",11.91940295,20.6080317,4.162314096,0,24.9076537,16.35956363,22.04303391,0,36.68974875,63.31025125,la_county_urban_2010_blockgroups
37,60375436021,5436021,543602,0.3036,West Carson,Unincorporated,LA County - West Carson,"759,557.81","1,134,689.06","296,578.13",0,"2,544,187.50","1,522,223.44","2,208,121.88",0,"2,190,825","6,274,532.81","8,465,357.81",8.972542323,13.40391142,3.503432833,0,30.0541047,17.98179677,26.08421196,0,25.87988657,74.12011343,la_county_urban_2010_blockgroups
38,60375435021,5435021,543502,0.1728,West Carson,Unincorporated,LA County - West Carson,"540,731.25","935,676.56","132,328.13",0,"770,765.63","905,118.75","1,531,518.75",0,"1,608,735.94","3,207,403.13","4,816,139.06",11.22748415,19.42793907,2.747597677,0,16.00380751,18.79345132,31.79972028,0,33.4030209,66.5969791,la_county_urban_2010_blockgroups
39,60375436022,5436022,543602,0.1769,West Carson,Unincorporated,LA County - West Carson,"689,428.13","952,143.75","58,767.19",0,"1,459,096.88","771,946.88","999,660.94",0,"1,700,339.06","3,230,704.69","4,931,043.75",13.98138325,19.30917263,1.191779884,0,29.59002088,15.65483727,20.27280609,0,34.48233576,65.51766424,la_county_urban_2010_blockgroups
40,60375545142,5545142,554514,0.2121,Cerritos,Cerritos,City of Cerritos,"1,279,392.19","799,045.31","120,234.38",0,"1,164,346.88","1,257,159.38","1,292,737.50",0,"2,198,671.88","3,714,243.75","5,912,915.63",21.63724749,13.51355851,2.033419427,0,19.69158616,21.26124326,21.86294515,0,37.18422542,62.81577458,la_county_urban_2010_blockgroups
